City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,Puerto Escondido,15.85,-97.0667,27.46,74,40,2.57,MX,1675552665
341,Coahuayana Viejo,18.7333,-103.6833,28.93,43,0,2.59,MX,1675552646
342,Meulaboh,4.1363,96.1285,23.76,87,98,1.62,ID,1675552920
343,San Ramon,37.7799,-121.978,14.4,93,100,4.63,US,1675552921
344,Lorengau,-2.0226,147.2712,28.86,69,100,2.53,PG,1675552921
345,Chiang Klang,19.2938,100.8617,19.43,97,40,0.35,TH,1675552921
346,Casma,-41.0082,-73.1244,27.6,46,44,3.59,CL,1675552922
347,Puerto Suárez,-18.95,-57.8,28.55,51,59,0.81,BO,1675552660
348,Provideniya,64.3833,-173.3,-19.22,89,100,4.97,RU,1675552922
349,Sayyan,15.1718,44.3244,11.27,52,34,0.68,YE,1675552923
350,Half Moon Bay,37.4636,-122.4286,15.3,94,100,10.29,US,1675552923
